text,date,No_of_likes,No_of_tweets
"Ziko kibao. But ukinunua pomba yako kutoka kwa shop kama Careffour ama upitie pale kwa shop ya EABL, utapata wapi fakes? Kama uko sherehe, ukichagua kunywa beer zako (Pili, Malt, White Cap), utapatana wapi na fakes?",2024-01-16 20:46:00+00:00,0,1
There is also a serious crisis of fake Whitecap please check before you drink the EABL stamp should be on both sides of the bottle.,2024-01-16 13:49:00+00:00,0,0
@EABL_PLC nowadays there's a mimic of whitecap counterfeit alcohol out here check for the eabl logo before taking it.  Roysambu Shaffie Weru Nigerians Kudus,2024-01-15 00:24:00+00:00,2,0
"EABL have done the thing...expect changes to prices of White Cap, Guinness and Tusker Cider",2024-01-10 09:30:00+00:00,0,0
Whitecap wameanza kufake bana Please check the EABL logos on both ends of the drink otherwise mnakunywa mkojo.,2023-12-31 22:10:00+00:00,0,0
@EABL_PLC Whitecap imeanza Kuharisha... kaeni Radar,2023-12-20 20:33:00+00:00,0,0
Whitecap by @EABL_PLC,2023-12-14 09:29:00+00:00,0,0
"Balozi is low grade packaged White Cap, a premium beer.  Layman's terms: There's no difference between White Cap and Balozi. Drunkards discovered that they are similar. EABL had launched Balozi to compete with Keroche's Senator.",2023-12-12 15:18:00+00:00,27,7
Summit iko poa kabisa. Kupata huwa tricky though. KBL sijui wali fanya nini but of you ask them they say ita the original recipe. Its not! @EABL_PLC what did you do to whitecap? Return to the original recipe.,2023-12-04 05:13:00+00:00,1,0
I’d love to see EABL data on when exactly Whitecap overtook Tusker in terms of sales. I’m very sure at this point whitecap consumption is higher than Tusker (also I like documenting beautiful whitecap glasses😂,2023-11-28 14:45:00+00:00,1,0
@EABL_PLC  hii ni advert kali sana. Si mnipee za  cabbage na white cap tano hii kitu itrend.,2023-11-26 17:30:00+00:00,0,0
EABL White Cap crisp entertainment from 6:00 PM till late. Wind down the day with a blend of relaxation and celebration. It's been an epic Jubilee Live Free Race!  #JubileeGNBRLiveFreeRace,2023-11-26 07:06:00+00:00,0,1
"Ready for the grand finale? H_Art the Band takes the main stage at 4:45 PM, followed by EABL White Cap crisp entertainment from 6 PM till late.  #JubileeGNBRLiveFreeRace",2023-11-26 06:10:00+00:00,1,0
The grand finale of Jubilee Live Free Race includes performances by H_Art the Band and EABL White Cap crisp entertainment!  Don't miss out on the fun.  #JubileeGNBRLiveFreeRace,2023-11-26 05:44:00+00:00,1,0
Join us for the grand finale at Jubilee Live Free Race. H_Art the Band and EABL White Cap crisp entertainment from 4:45 PM till late. An unforgettable evening awaits!   #JubileeGNBRLiveFreeRace,2023-11-26 05:21:00+00:00,2,0
Throats are open.  White cap is cold … Supporting EABL employees,2023-11-23 18:27:00+00:00,0,0
First sip of this Tusker is just it. Moving away from Whitecap. #eabl #InternationalMensDay,2023-11-19 15:32:00+00:00,0,0
"Hii whitecap ni tamu buana ,eeeiii @EABL_PLC  mliongeza nini leo?",2023-11-01 15:51:00+00:00,0,0
Weekend vibes with @eabl_kenya  white cap. #Ad strategically showcased on LEDRAD digital screens located in liquor stores.  #advertising #ledrad #branding #marketing,2023-10-28 06:29:00+00:00,0,1
